frame,ms
2217,3
2218,6
2219,6
2220,5
2221,4
2222,4
2223,6
2224,6
2225,7
2226,8
2227,7
2228,8
2229,6
2230,5
2231,4
2232,4
2233,6
2234,6
2235,4
2236,5
2237,5
2238,5
2239,5
2240,18
2241,6
2242,5
2243,8
2244,6
2245,4
2246,4
2247,4
2248,5
2249,5
2250,5
2251,6
2252,5
2253,4
2254,3
2255,5
2256,4
2257,5
2258,6
2259,6
2260,6
2261,6
2262,5
2263,4
2264,5
2265,7
2266,5
2267,5
2268,4
2269,4
2270,25
2271,8
2272,6
2273,7
2274,8
2275,9
2276,8
2277,9
2278,8
2279,8
2280,5
2281,7
2282,5
2283,7
2284,7
2285,5
2286,7
2287,5
2288,7
2289,8
2290,24
2291,11
2292,7
2293,6
2294,6
2295,4
2296,9
2297,7
2298,5
2299,6
2300,6
2301,8
2302,5
2303,8
2304,8
2305,10
2306,10
2307,8
2308,5
2309,5
2310,18
2311,4
2312,5
2313,5
2314,4
2315,6
2316,6
2317,4
2318,6
2319,6
2320,7
2321,5
2322,4
2323,4
2324,5
2325,8
2326,6
2327,6
2328,5
2329,5
2330,14
2331,5
2332,3
2333,4
2334,6
2335,6
2336,4
2337,4
2338,3
2339,4
2340,5
2341,4
2342,6
2343,4
2344,4
2345,6
2346,5
2347,5
2348,4
2349,5
2350,17
2351,7
2352,8
2353,7
2354,7
2355,8
2356,10
2357,8
2358,6
2359,6
2360,5
2361,8
2362,5
2363,5
2364,4
2365,5
2366,7
2367,7
2368,6
2369,4
2370,17
2371,6
2372,5
2373,5
2374,7
2375,8
2376,9
2377,7
2378,6
2379,6
2380,6
2381,7
2382,7
2383,5
2384,5
2385,7
2386,8
2387,9
2388,6
2389,4
2390,5
2391,4
2392,7
2393,5
2394,9
2395,7
2396,6
2397,5
2398,6
2399,4
2400,5
2401,5
2402,6
2403,6
2404,4
2405,6
2406,5
2407,5
2408,7
2409,7
2410,6
2411,7
2412,7
2413,8
2414,6
2415,7
2416,6
2417,4
2418,7
2419,4
2420,7
2421,7
2422,6
2423,6
2424,5
2425,5
2426,8
2427,6
2428,10
2429,5
2430,4
2431,5
2432,5
2433,4
2434,6
2435,5
2436,5
2437,5
2438,5
2439,9
2440,19
2441,5
2442,8
2443,6
2444,7
2445,6
2446,6
2447,4
2448,6
2449,6
2450,5
2451,4
2452,4
2453,3
2454,4
2455,6
2456,4
2457,6
2458,7
2459,4
2460,6
2461,4
2462,5
2463,4
2464,7
2465,7
2466,6
2467,5
2468,5
2469,5
2470,23
2471,7
2472,5
2473,8
2474,6
2475,8
2476,8
2477,7
2478,7
2479,6
2480,8
2481,7
2482,6
2483,5
2484,5
2485,5
2486,9
2487,5
2488,5
2489,7
2490,19
2491,8
2492,6
2493,7
2494,6
2495,8
2496,8
2497,5
2498,5
2499,4
2500,6
2501,11
2502,4
2503,5
2504,7
2505,4
2506,5
2507,8
2508,6
2509,5
2510,17
2511,4
2512,5
2513,4
2514,4
2515,5
2516,4
2517,4
2518,3
2519,4
2520,5
2521,4
2522,4
2523,4
2524,5
2525,5
2526,6
2527,6
2528,7
2529,8
2530,28
2531,6
2532,6
2533,7
2534,6
2535,7
2536,4
2537,3
2538,4
2539,4
2540,8
2541,6
2542,4
2543,13
2544,12
2545,10
2546,8
2547,7
2548,8
2549,7
2550,28
2551,6
2552,6
2553,8
2554,7
2555,9
2556,7
2557,6
2558,5
2559,9
2560,7
2561,8
2562,6
